epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,6648.01,1.06754,2.26491,1.08643,1.15358,0,0.72688,0.52718,0.59667,0.4164,0.68898,0.49769,0.53687,0.30514,1.05826,2.0609,1.02223,1.13071,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,6934.82,1.05439,2.25256,1.07526,1.14234,0,0.74426,0.52124,0.59829,0.41923,0.71898,0.48844,0.54114,0.30889,1.03992,2.02353,1.03217,1.12714,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,7223.69,1.05324,2.21847,1.06675,1.14414,0,0.73089,0.53291,0.60059,0.41504,0.69982,0.49285,0.54239,0.30225,1.05386,2.04667,1.03338,1.1454,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,7509.57,1.05386,2.23685,1.07358,1.1443,0,0.71214,0.53445,0.59595,0.41613,0.73845,0.46775,0.53076,0.3002,1.05663,2.03263,1.02333,1.14183,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,7799.19,1.0435,2.20696,1.05754,1.14291,0,0.69103,0.56616,0.6092,0.42411,0.69523,0.49461,0.54393,0.31113,1.0481,2.04734,0.99915,1.1334,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,8088.31,1.0382,2.20167,1.05216,1.1366,0,0.70951,0.54545,0.60153,0.42249,0.69196,0.50913,0.54904,0.3103,1.03271,2.01391,1.0211,1.1164,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,8374.92,1.02131,2.15902,1.0238,1.13085,0,0.72224,0.54718,0.60796,0.42495,0.69429,0.512,0.54822,0.31325,1.03201,2.05012,0.99201,1.13372,0,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,8661.88,1.02225,2.15302,1.01957,1.12902,0,0.70903,0.5602,0.61066,0.43208,0.6871,0.52873,0.56411,0.32382,1.01332,1.99404,0.98799,1.11233,0,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,8951.48,1.01462,2.15612,1.0218,1.12829,0,0.73069,0.559,0.61653,0.43507,0.69543,0.52564,0.56266,0.31996,1.00909,1.97801,0.97511,1.11571,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,9238.35,1.01258,2.14492,1.01059,1.12123,0,0.72333,0.55448,0.61028,0.43004,0.68658,0.5263,0.55733,0.32243,1.0153,1.99617,0.98995,1.12133,0,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
